Word,Hint,Direction
⠓⠑⠇⠇⠕,Hello in Braille,ACROSS
⠞⠓⠁⠝⠅,Thank you in Braille,DOWN
⠽⠑⠎,Yes in Braille,ACROSS
⠝⠕,No in Braille,DOWN
⠋⠗⠊⠑⠝⠙,Friend in Braille,ACROSS
⠋⠁⠍⠊⠇⠽,Family in Braille,DOWN
⠇⠕⠧⠑,Love in Braille,ACROSS
⠎⠉⠓⠕⠕⠇,School in Braille,DOWN
⠋⠕⠕⠙,Food in Braille,ACROSS
⠺⠁⠞⠑⠗,Water in Braille,DOWN
⠃⠕⠕⠅,Book in Braille,ACROSS
⠉⠁⠞,Cat in Braille,DOWN
⠙⠕⠛,Dog in Braille,ACROSS
⠓⠕⠥⠎⠑,House in Braille,DOWN
⠉⠓⠁⠊⠗,Chair in Braille,ACROSS
⠞⠁⠃⠇⠑,Table in Braille,DOWN
⠏⠑⠎,Pen in Braille,ACROSS
⠏⠁⠏⠑⠗,Paper in Braille,DOWN
⠉⠁⠗,Car in Braille,ACROSS
⠃⠊⠅⠑,Bike in Braille,DOWN
⠋⠇⠁⠛,Flag in Braille,ACROSS
⠋⠗⠥⠊⠞,Fruit in Braille,DOWN
⠃⠗⠑⠁⠙,Bread in Braille,ACROSS
⠉⠓⠑⠑⠎⠑,Cheese in Braille,DOWN
⠍⠊⠇⠅,Milk in Braille,ACROSS
⠉⠁⠅⠑,Cake in Braille,DOWN
⠉⠕⠋⠋⠑⠑,Coffee in Braille,ACROSS
⠞⠑⠁,Tea in Braille,DOWN
⠎⠥⠝,Sun in Braille,ACROSS
⠍⠕⠕⠝,Moon in Braille,DOWN
⠎⠞⠁⠗,Star in Braille,ACROSS
⠉⠇⠕⠥⠙,Cloud in Braille,DOWN
⠗⠁⠊⠝,Rain in Braille,ACROSS
⠎⠝⠕⠺,Snow in Braille,DOWN
⠺⠊⠝⠙,Wind in Braille,ACROSS
⠋⠊⠗⠑,Fire in Braille,DOWN
⠑⠁⠗⠞⠓,Earth in Braille,ACROSS
⠇⠁⠅⠑,Lake in Braille,DOWN
⠗⠊⠧⠑⠗,River in Braille,ACROSS
⠎⠑⠁,Sea in Braille,DOWN
⠍⠁⠏,Map in Braille,ACROSS
⠉⠊⠞⠽,City in Braille,DOWN
⠞⠗⠑⠑,Tree in Braille,ACROSS
⠋⠇⠕⠺⠑⠗,Flower in Braille,DOWN
⠋⠁⠗⠍,Farm in Braille,ACROSS
⠋⠊⠎⠓,Fish in Braille,DOWN
⠃⠑⠑,Bee in Braille,ACROSS
⠃⠊⠗⠙,Bird in Braille,DOWN
⠍⠕⠞⠓⠑⠗,Mother in Braille,ACROSS
⠋⠁⠞⠓⠑⠗,Father in Braille,DOWN
⠎⠊⠎⠞⠑⠗,Sister in Braille,ACROSS
⠃⠗⠕⠞⠓⠑⠗,Brother in Braille,DOWN
⠉⠓⠊⠇⠙,Child in Braille,ACROSS
⠃⠁⠃⠽,Baby in Braille,DOWN
⠋⠗⠊⠑⠝⠙,Friend in Braille,ACROSS
⠏⠑⠗⠎⠕⠝,Person in Braille,DOWN
⠏⠑⠗⠋⠥⠍⠑,Perfume in Braille,ACROSS
⠎⠓⠕⠑,Shoe in Braille,DOWN
⠎⠓⠊⠗⠞,Shirt in Braille,ACROSS
⠏⠁⠝⠞⠎,Pants in Braille,DOWN
⠉⠕⠁⠞,Coat in Braille,ACROSS
⠎⠉⠁⠗⠋,Scarf in Braille,DOWN
⠓⠁⠞,Hat in Braille,ACROSS
⠛⠇⠕⠧⠑,Glove in Braille,DOWN
⠃⠕⠇⠙,Bold in Braille,ACROSS
⠇⠊⠛⠓⠞,Light in Braille,DOWN
⠙⠁⠗⠅,Dark in Braille,ACROSS
⠉⠕⠇⠕⠗,Color in Braille,DOWN
⠗⠑⠙,Red in Braille,ACROSS
⠃⠇⠥⠑,Blue in Braille,DOWN
⠛⠗⠑⠑⠝,Green in Braille,ACROSS
⠽⠑⠇⠇⠕⠺,Yellow in Braille,DOWN
⠃⠇⠁⠉⠅,Black in Braille,ACROSS
⠺⠓⠊⠞⠑,White in Braille,DOWN
⠏⠥⠗⠏⠇⠑,Purple in Braille,ACROSS
⠕⠗⠁⠝⠛⠑,Orange in Braille,DOWN
⠃⠗⠕⠺⠝,Brown in Braille,ACROSS
⠏⠊⠝⠅,Pink in Braille,DOWN
⠛⠗⠁⠽,Gray in Braille,ACROSS
⠉⠇⠁⠎⠎,Class in Braille,DOWN
⠎⠞⠥⠙⠑⠝⠞,Student in Braille,ACROSS
⠞⠑⠁⠉⠓⠑⠗,Teacher in Braille,DOWN
⠃⠕⠗⠙,Board in Braille,ACROSS
⠎⠏⠕⠗⠞,Sport in Braille,DOWN
⠛⠁⠍⠑,Game in Braille,ACROSS
⠏⠇⠁⠽,Play in Braille,DOWN
⠗⠥⠝,Run in Braille,ACROSS
⠺⠁⠇⠅,Walk in Braille,DOWN
⠎⠊⠞,Sit in Braille,ACROSS
⠎⠞⠁⠝⠙,Stand in Braille,DOWN
