Word,Hint,Direction
はりがねせいぞうこうじょう,Hiragana word #1,ACROSS
はずかしがる,Hiragana word #2,DOWN
ごんす,Hiragana word #3,ACROSS
はなずもう,Hiragana word #4,DOWN
ちくじ,Hiragana word #5,ACROSS
しょうめいせきにん,Hiragana word #6,DOWN
とうのほんにん,Hiragana word #7,ACROSS
いちたいいちのつうしん,Hiragana word #8,DOWN
とんよく,Hiragana word #9,ACROSS
はんごろし,Hiragana word #10,DOWN
かくだいかぞく,Hiragana word #11,ACROSS
かぎゃくでんち,Hiragana word #12,DOWN
しょぶん,Hiragana word #13,ACROSS
つみのない,Hiragana word #14,DOWN
ねんちゃくざい,Hiragana word #15,ACROSS
のりきる,Hiragana word #16,DOWN
くずふ,Hiragana word #17,ACROSS
しょじひん,Hiragana word #18,DOWN
たんとうだいじん,Hiragana word #19,ACROSS
わかものご,Hiragana word #20,DOWN
かなくぎ,Hiragana word #21,ACROSS
たいせきがん,Hiragana word #22,DOWN
ぶんがく,Hiragana word #23,ACROSS
はるつげどり,Hiragana word #24,DOWN
だいかくせい,Hiragana word #25,ACROSS
だつりん,Hiragana word #26,DOWN
はやさい,Hiragana word #27,ACROSS
りっしょう,Hiragana word #28,DOWN
といっても,Hiragana word #29,ACROSS
しゅうめいび,Hiragana word #30,DOWN
やみしょうぐん,Hiragana word #31,ACROSS
なんにあう,Hiragana word #32,DOWN
かんべつしょ,Hiragana word #33,ACROSS
こころのかべ,Hiragana word #34,DOWN
たいかくけんさ,Hiragana word #35,ACROSS
せんぜい,Hiragana word #36,DOWN
おびひも,Hiragana word #37,ACROSS
はくしじゃっこう,Hiragana word #38,DOWN
でんきしょうせつ,Hiragana word #39,ACROSS
ゆうせいはいぐうたい,Hiragana word #40,DOWN
くつべら,Hiragana word #41,ACROSS
こうごうき,Hiragana word #42,DOWN
じゅんぱく,Hiragana word #43,ACROSS
ちょうししゃ,Hiragana word #44,DOWN
めいじにゅうぎょうかぶしきがいしゃ,Hiragana word #45,ACROSS
しやかく,Hiragana word #46,DOWN
とうきごりん,Hiragana word #47,ACROSS
ねんりょうぶそく,Hiragana word #48,DOWN
じゅじゅ,Hiragana word #49,ACROSS
でんかい,Hiragana word #50,DOWN
どりょくか,Hiragana word #51,ACROSS
らいじゅう,Hiragana word #52,DOWN
ふそきゅう,Hiragana word #53,ACROSS
さいてきか,Hiragana word #54,DOWN
せいあ,Hiragana word #55,ACROSS
ものごと,Hiragana word #56,DOWN
ふうりょくはつでん,Hiragana word #57,ACROSS
ちせき,Hiragana word #58,DOWN
きかんいしょく,Hiragana word #59,ACROSS
てんぽうれき,Hiragana word #60,DOWN
あつぎ,Hiragana word #61,ACROSS
しゅっぽん,Hiragana word #62,DOWN
かいはん,Hiragana word #63,ACROSS
しごとび,Hiragana word #64,DOWN
からだがしほん,Hiragana word #65,ACROSS
なげあげる,Hiragana word #66,DOWN
ぜんにほんこうつうあんぜんきょうかい,Hiragana word #67,ACROSS
さんかくかんけい,Hiragana word #68,DOWN
しゃっくり,Hiragana word #69,ACROSS
かんみんかくさ,Hiragana word #70,DOWN
じがじさん,Hiragana word #71,ACROSS
ばんのうきょうけつしゃ,Hiragana word #72,DOWN
さんきんこうりゅう,Hiragana word #73,ACROSS
はんたい,Hiragana word #74,DOWN
すいそく,Hiragana word #75,ACROSS
えいがかい,Hiragana word #76,DOWN
とりあつかいちゅうい,Hiragana word #77,ACROSS
おぼえやすい,Hiragana word #78,DOWN
きみゃく,Hiragana word #79,ACROSS
まんせいしんふぜん,Hiragana word #80,DOWN
ゆうすいち,Hiragana word #81,ACROSS
はんとけいまわり,Hiragana word #82,DOWN
こじんかいいん,Hiragana word #83,ACROSS
せいじんだんし,Hiragana word #84,DOWN
ぜいせいかいせい,Hiragana word #85,ACROSS
さんびか,Hiragana word #86,DOWN
ししょうたい,Hiragana word #87,ACROSS
おこりじょうご,Hiragana word #88,DOWN
きんとうわりつけ,Hiragana word #89,ACROSS
ねんおち,Hiragana word #90,DOWN
よせつ,Hiragana word #91,ACROSS
けんえんうんどう,Hiragana word #92,DOWN
どうぶつく,Hiragana word #93,ACROSS
かっそく,Hiragana word #94,DOWN
にんげんりょく,Hiragana word #95,ACROSS
がくえんとしせん,Hiragana word #96,DOWN
せのたかい,Hiragana word #97,ACROSS
きしょうつうほう,Hiragana word #98,DOWN
おきどころ,Hiragana word #99,ACROSS
かさにきる,Hiragana word #100,DOWN
むなわき,Hiragana word #101,ACROSS
けか,Hiragana word #102,DOWN
しゅじゅつこん,Hiragana word #103,ACROSS
ちゅうかんしゅくしゅ,Hiragana word #104,DOWN
にゅうしゅつりょく,Hiragana word #105,ACROSS
からくさもん,Hiragana word #106,DOWN
ちょうす,Hiragana word #107,ACROSS
ゆがし,Hiragana word #108,DOWN
としけいかくほう,Hiragana word #109,ACROSS
ひょうだい,Hiragana word #110,DOWN
そうさか,Hiragana word #111,ACROSS
しょひょうらん,Hiragana word #112,DOWN
てにかける,Hiragana word #113,ACROSS
めんじょう,Hiragana word #114,DOWN
てんちうじょう,Hiragana word #115,ACROSS
ふくそかん,Hiragana word #116,DOWN
えんたいりし,Hiragana word #117,ACROSS
たのうほうせいらんそうしょうこうぐん,Hiragana word #118,DOWN
ほうちゃく,Hiragana word #119,ACROSS
しこくしょうねんいん,Hiragana word #120,DOWN
かがわいかだいがく,Hiragana word #121,ACROSS
むじんき,Hiragana word #122,DOWN
とくべつきゅうこう,Hiragana word #123,ACROSS
こがねむし,Hiragana word #124,DOWN
たとうしいく,Hiragana word #125,ACROSS
しみこむ,Hiragana word #126,DOWN
いっかせいのうきょけつほっさ,Hiragana word #127,ACROSS
