Word,Hint,Direction
overtops,Latin script word #1,ACROSS
saintish,Latin script word #2,DOWN
wavement,Latin script word #3,ACROSS
subloral,Latin script word #4,DOWN
Casaubon,Latin script word #5,ACROSS
Genetrix,Latin script word #6,DOWN
fetchers,Latin script word #7,ACROSS
tendable,Latin script word #8,DOWN
Doersten,Latin script word #9,ACROSS
starchly,Latin script word #10,DOWN
hollooed,Latin script word #11,ACROSS
tolylene,Latin script word #12,DOWN
Sittinae,Latin script word #13,ACROSS
profunda,Latin script word #14,DOWN
tritoral,Latin script word #15,ACROSS
jazziest,Latin script word #16,DOWN
sacredly,Latin script word #17,ACROSS
disliked,Latin script word #18,DOWN
couthily,Latin script word #19,ACROSS
Ionidium,Latin script word #20,DOWN
Asmodeus,Latin script word #21,ACROSS
aniseeds,Latin script word #22,DOWN
quaalude,Latin script word #23,ACROSS
messiahs,Latin script word #24,DOWN
anaerobe,Latin script word #25,ACROSS
peracids,Latin script word #26,DOWN
Purkinje,Latin script word #27,ACROSS
teenybop,Latin script word #28,DOWN
incident,Latin script word #29,ACROSS
paletots,Latin script word #30,DOWN
tenacity,Latin script word #31,ACROSS
campongs,Latin script word #32,DOWN
Babelism,Latin script word #33,ACROSS
fingerer,Latin script word #34,DOWN
subgalea,Latin script word #35,ACROSS
androids,Latin script word #36,DOWN
innatism,Latin script word #37,ACROSS
Gelasias,Latin script word #38,DOWN
creating,Latin script word #39,ACROSS
hilloaed,Latin script word #40,DOWN
modalist,Latin script word #41,ACROSS
unmotile,Latin script word #42,DOWN
poculent,Latin script word #43,ACROSS
graduate,Latin script word #44,DOWN
Tallbott,Latin script word #45,ACROSS
ullagone,Latin script word #46,DOWN
wankapin,Latin script word #47,ACROSS
gipsyish,Latin script word #48,DOWN
thermits,Latin script word #49,ACROSS
plethora,Latin script word #50,DOWN
tholepin,Latin script word #51,ACROSS
regelled,Latin script word #52,DOWN
pipkinet,Latin script word #53,ACROSS
mounters,Latin script word #54,DOWN
lenitude,Latin script word #55,ACROSS
intactly,Latin script word #56,DOWN
indamage,Latin script word #57,ACROSS
omnified,Latin script word #58,DOWN
herpeses,Latin script word #59,ACROSS
haznadar,Latin script word #60,DOWN
hardback,Latin script word #61,ACROSS
simmered,Latin script word #62,DOWN
mouchard,Latin script word #63,ACROSS
gonimous,Latin script word #64,DOWN
handhole,Latin script word #65,ACROSS
filmmake,Latin script word #66,DOWN
cohosted,Latin script word #67,ACROSS
backsets,Latin script word #68,DOWN
daishiki,Latin script word #69,ACROSS
cordages,Latin script word #70,DOWN
langauge,Latin script word #71,ACROSS
deadfall,Latin script word #72,DOWN
trussell,Latin script word #73,ACROSS
organule,Latin script word #74,DOWN
lamsters,Latin script word #75,ACROSS
earreach,Latin script word #76,DOWN
thialdin,Latin script word #77,ACROSS
areawide,Latin script word #78,DOWN
palfreys,Latin script word #79,ACROSS
flyingly,Latin script word #80,DOWN
trundled,Latin script word #81,ACROSS
Pitsburg,Latin script word #82,DOWN
mudtrack,Latin script word #83,ACROSS
Tientsin,Latin script word #84,DOWN
geotropy,Latin script word #85,ACROSS
amperage,Latin script word #86,DOWN
prenight,Latin script word #87,ACROSS
Davidist,Latin script word #88,DOWN
frostbit,Latin script word #89,ACROSS
pressrun,Latin script word #90,DOWN
vermetid,Latin script word #91,ACROSS
setbacks,Latin script word #92,DOWN
trampers,Latin script word #93,ACROSS
quipping,Latin script word #94,DOWN
